"company name","founder names"
"Abbott Laboratories","Dr. Wallace Calvin Abbott"
"Adidas","Adolf 'Adi' Dassler"
"Amazon.com","Jeff Bezos"
"American Express","Henry Wells, William Fargo, John Warren Butterfield"
"Apple Inc.","Steve Jobs, Steve Wozniak, Ronald Wayne"
"Avon Products","David H. McConnell"
"BMW","Franz Josef Popp"
"Canon","Takeshi Mitarai, Goro Yoshida, Saburo Uchida, Takeo Maeda"
"Carlsberg","J.C. (Jacob Christian) Jacobsen"
"Cisco Systems, Inc.","Len Bosack, Sandy Lerner, Richard Troiano"
"Colgate-Palmolive","William Colgate"
"Comcast","Ralph J. Roberts, Daniel Aaron, Julian A. Brodsky"
"Dell","Michael Dell"
"Deutsche Bank","Adelbert Delbruck, private bankers"
"eBay Inc.","Pierre Morad Omidyar"
"Ericsson","Lars Magnus Ericsson"
"Facebook","Mark Elliot Zuckerberg, Dustin Moskovitz, Eduardo Saverin, Chris Hughes"
"FedEx","Frederick W. Smith"
"Ford Motor Company","Henry Ford"
"General Electric","Charles Coffin, Edwin Houston, Elihu Thomson, Thomas Edison"
"Google Inc.","Sergey Brin, Larry Page"
"HP Inc.","Bill Hewlett, David Packard"
"HSBC","Sir Thomas Sutherland"
"Hyundai Motor Company","Hyundai Motor Company"
"IBM","Thomas J. Watson"
"Intel Corporation","Gordon E. Moore, Robert Noyce, Arthur Rock"
"Johnson & Johnson","Robert Wood Johnson I, James Wood Johnson, Edward Mead Johnson"
"LG Corp","Koo In-Hwoi"
"L'Oreal","Eugene Schueller"
"McDonaldâ€™s","Richard McDonald, Maurice McDonald, Ray Kroc"
"Microsoft","Bill Gates, Paul Allen"
"Mitsubishi","Yataro Iwasaki"
"Morgan Stanley","Henry S. Morgan, Harold Stanley"
"News Corporation","Rupert Murdoch"
"Nestle","Henri Nestle"
"Nike","Bill Bowerman, Philip Knight"
"Nintendo","Fusajiro Yamauchi"
"Nissan Motor","Masujiro Hashimoto, Kenjiro Den, Rokuro Aoyama, Meitaro Takeuchi, Yoshisuke Aikawa"
"Nokia","Fredrik Idestam, Leo Mechelin"
"Oracle Corporation","Larry Ellison, Bob Miner, Ed Oates"
"PepsiCo, Inc.","Donald M. Kendall, Herman W. Lay"